ref_no,pmid,doi,year,topic,section,subtopic,n_citations,ms_pages,citation,url,claim
378,,,2015,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant bisphosphonate therapy,Bisphosphonates:,2,"172,180","Gnant M, Pfeiler G, Dubsky PC, et al. Adjuvant denosumab in breast cancer (ABCSG-18): a multicentre, randomised, double-blind, placebo-controlled trial. Lancet 2015;386:433-443.",,"Denosumab: In the adjuvant setting, the ABCSG-18 trial studied the effect of denosumab in postmenopausal patients treated with adjuvant AIs and showed a reduction in clinical fractures (HR 0.5, P < .0001), which was the primary endpoint of this study."
379,,10.1056/EVIDoa2200162,2022,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant bisphosphonate therapy,Bisphosphonates:,2,172,"Gnant M, Frantal S, Pfeiler G, et al. Long-term outcomes of adjuvant denosumab in breast cancer. NEJM Evidence 2022;1:EVIDoa2200162.",https://evidence.nejm.org/doi/abs/10.1056/EVIDoa2200162,"Adjuvant denosumab improved bone metastasis-free survival (88.9 vs. 86.4%; HR, 0.81; 95% CI, 0.65 to 1.00) and OS (90.9 vs. 89.9%; HR, 0.80; 95% CI, 0.64 to 1.01)."
380,,,2020,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant bisphosphonate therapy,,1,172,"Coleman R, Finkelstein DM, Barrios C, et al. Adjuvant denosumab in early breast cancer (D-CARE): an international, multicentre, randomised, controlled, phase 3 trial. Lancet Oncol 2020;21:60-72.",,"In contrast, results of the phase III trial (D-Care) trial failed to demonstrate a difference in bone metastasis-free survival in those receiving denosumab versus placebo."
381,,10.1016/S0140-6736(18)33137-4,2019,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,172,"Gray R, Bradley R, Braybrooke J, et al. Increasing the dose intensity of chemotherapy by more frequent administration or sequential scheduling: a patient-level meta-analysis of 37&#x2008;298 women with early breast cancer in 26 randomised trials. The Lancet 2019;393:1440- 1452.",https://doi.org/10.1016/S0140-6736(18)33137-4,The use of dose-dense schedules has shown to further reduce the risk of breast cancer recurrence or death without increasing mortality.
382,12637460,,2003,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,Useful in Certain Circumstances:,2,"172,174","Henderson I, Berry D, Demetri G, et al. Improved outcomes from adding sequential paclitaxel but not from escalating doxorubicin dose in an adjuvant chemotherapy regimen for patients with node-positive primary breast cancer. J Clin Oncol 2003;21:976-983.",http://www.ncbi.nlm.nih.gov/pubmed/12637460,"The results of two randomized trials comparing AC chemotherapy with or without sequential paclitaxel chemotherapy in patients with axillary node-positive breast cancer suggest improved disease-free rates and results from one of the trials showed an improvement in OS, with the addition of paclitaxel."
383,15897552,,2005,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,172,"Mamounas E, Bryant J, Lembersky B, et al. Paclitaxel after doxorubicin plus cyclophosphamide as adjuvant chemotherapy for node- positive breast cancer: results from NSABP B-28. J Clin Oncol 2005;23:3686-3696.",http://www.ncbi.nlm.nih.gov/pubmed/15897552,"The results of two randomized trials comparing AC chemotherapy with or without sequential paclitaxel chemotherapy in patients with axillary node-positive breast cancer suggest improved disease-free rates and results from one of the trials showed an improvement in OS, with the addition of paclitaxel."
384,12668651,,2003,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,2,173,"Citron ML, Berry DA, Cirrincione C, et al. Randomized trial of dose- dense versus conventionally scheduled and sequential versus concurrent combination chemotherapy as postoperative adjuvant treatment of node-positive primary breast cancer: first report of Intergroup Trial C9741/Cancer and Leukemia Group B Trial 9741. J Clin Oncol 2003;21:1431-1439.",http://www.ncbi.nlm.nih.gov/pubmed/12668651,The results show no significant difference between the two chemotherapy regimens but demonstrate a 26% reduction in hazard of recurrence (P = .01) and a 31% reduction in the hazard of death (P = .013) for the dose-dense regimens.
385,18420499,,2008,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,2,173,"Sparano J, Wang M, Martino S, et al. Weekly paclitaxel in the adjuvant treatment of breast cancer. N Engl J Med 2008;358:1663-1671.",http://www.ncbi.nlm.nih.gov/pubmed/18420499,The ECOG E1199 study was a four-arm trial that randomized 4950 patients to receive AC chemotherapy followed by either paclitaxel or docetaxel given by either an every-3-week schedule or a weekly schedule.
386,19204201,,2009,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,173,"Jones S, Holmes FA, O'Shaughnessy J, et al. Docetaxel with cyclophosphamide is associated with an overall survival benefit compared with doxorubicin and cyclophosphamide: 7-year follow-up of US Oncology Research trial 9735. J Clin Oncol 2009;27:1177-1183.",http://www.ncbi.nlm.nih.gov/pubmed/19204201,Combination TC was compared with AC chemotherapy in a trial that randomized 1016 patients with stage I to III breast cancer.
387,24338638,,2015,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,173,"Kuroi K, Toi M, Ohno S, et al. Prognostic significance of subtype and pathologic response in operable breast cancer; a pooled analysis of prospective neoadjuvant studies of JBCRG. Breast Cancer 2015;22:486- 495.",https://www.ncbi.nlm.nih.gov/pubmed/24338638,Residual disease after preoperative systemic therapy indicates higher risk (20% to 30%) of disease relapse.
388,,10.1200/JCO,2003,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,173,"Martín M, Simón AR, Borrego MR, et al. Epirubicin plus cyclophosphamide followed by docetaxel versus epirubicin plus docetaxel followed by capecitabine as adjuvant therapy for node-positive early breast cancer: Results from the GEICAM/2003-10 study. Journal of Clinical Oncology 2015;33:3788-3795.",https://ascopubs.org/doi/abs/10.1200/JCO.2015.61.9510,Results of two other similar trials with adjuvant capecitabine have showed a similar impact with adjuvant capecitabine in patients with TNBC with no significant impact in those with HR-positive disease.
389,22105826,,2012,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,173,"Joensuu H, Kellokumpu-Lehtinen PL, Huovinen R, et al. Adjuvant capecitabine, docetaxel, cyclophosphamide, and epirubicin for early breast cancer: final analysis of the randomized FinXX trial. J Clin Oncol 2012;30:11-18.",https://www.ncbi.nlm.nih.gov/pubmed/22105826,Results of two other similar trials with adjuvant capecitabine have showed a similar impact with adjuvant capecitabine in patients with TNBC with no significant impact in those with HR-positive disease.
390,11408507,,2001,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,173,"Piccart MJ, Di Leo A, Beauduin M, et al. Phase III trial comparing two dose levels of epirubicin combined with cyclophosphamide with cyclophosphamide, methotrexate, and fluorouracil in node-positive breast cancer. J Clin Oncol 2001;19:3103-3110.",http://www.ncbi.nlm.nih.gov/pubmed/11408507,A trial compared 2 dose levels of EC chemotherapy with CMF chemotherapy in patients with node-positive breast cancer.
391,15930421,,2005,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,174,"Martin M, Pienkowski T, Mackey J, et al. Adjuvant docetaxel for node-positive breast cancer. N Engl J Med 2005;352:2302-2313.",http://www.ncbi.nlm.nih.gov/pubmed/15930421,Final results from a randomized trial of TAC versus FAC chemotherapy in node-positive breast cancer demonstrated that TAC is superior to FAC.
392,,,2009,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,,1,174,"Swain SM, Jeong J-H, Geyer CE, et al. NSABP B-30: definitive analysis of patient outcome from a randomized trial evaluating different schedules and combinations of adjuvant therapy containing doxorubicin, docetaxel and cyclophosphamide in women with operable, node-positive breast cancer [abstract]. Cancer Research 2009;69(Suppl):Abstract 75.",http://cancerres.aacrjournals.org/cgi/content/meeting_abstract/69/2_Mee,"In addition, both DFS (HR, 0.080; P = .001) and OS (HR, 0.83; P = .034) were significantly increased when AC followed by T was compared with AT, with AT demonstrating non-inferiority compared with TAC."
393,26077235,,2015,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,Useful in Certain Circumstances:,1,174,"Sparano JA, Zhao F, Martino S, et al. Long-term follow-up of the e1199 phase iii trial evaluating the role of taxane and schedule in operable breast cancer. J Clin Oncol 2015;33:2353-2360.",https://www.ncbi.nlm.nih.gov/pubmed/26077235,"Among patients with triple-negative disease, the10-year DFS rate with weekly paclitaxel was 69% and the 10-year OS rate was 75%."
394,11135211,,2000,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,Useful in Certain Circumstances:,1,174,"Bang SM, Heo DS, Lee KH, et al. Adjuvant doxorubicin and cyclophosphamide versus cyclophosphamide, methotrexate, and 5- fluorouracil chemotherapy in premenopausal women with axillary lymph node positive breast carcinoma. Cancer 2000;89:2521-2526.",http://www.ncbi.nlm.nih.gov/pubmed/11135211,"The AC regimen for four cycles has been studied in randomized trials, resulting in relapse-free survival and OS equivalent to CMF chemotherapy."
395,2202791,,1990,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,Useful in Certain Circumstances:,1,174,"Fisher B, Brown AM, Dimitrov NV, et al. Two months of doxorubicin- cyclophosphamide with and without interval reinduction therapy compared with 6 months of cyclophosphamide, methotrexate, and fluorouracil in positive-node breast cancer patients with tamoxifen- nonresponsive tumors: results from the National Surgical Adjuvant Breast and Bowel Project B-15. J Clin Oncol 1990;8:1483-1496.",http://www.ncbi.nlm.nih.gov/pubmed/2202791,"The AC regimen for four cycles has been studied in randomized trials, resulting in relapse-free survival and OS equivalent to CMF chemotherapy."
396,9164196,,1997,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,Useful in Certain Circumstances:,1,174,"Fisher B, Anderson S, Wickerham DL, et al. Increased intensification and total dose of cyclophosphamide in a doxorubicin- cyclophosphamide regimen for the treatment of primary breast cancer: findings from National Surgical Adjuvant Breast and Bowel Project B-22. J Clin Oncol 1997;15:1858-1869.",http://www.ncbi.nlm.nih.gov/pubmed/9164196,No benefit from dose escalation of either doxorubicin or cyclophosphamide was shown.
397,9752815,,1998,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,Useful in Certain Circumstances:,1,174,Polychemotherapy for early breast cancer: an overview of the randomised trials. Early Breast Cancer Trialists' Collaborative Group. Lancet 1998;352:930-942.,http://www.ncbi.nlm.nih.gov/pubmed/9752815,Studies of CMF chemotherapy versus no chemotherapy have shown DFS and OS advantages with CMF chemotherapy.
398,,,2021,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-negative tumors,Useful in Certain Circumstances:,1,174,"Wang X, Wang SS, Huang H, et al. Effect of Capecitabine Maintenance Therapy Using Lower Dosage and Higher Frequency vs Observation on Disease-Free Survival Among Patients With Early-Stage Triple-Negative Breast Cancer Who Had Received Standard Treatment: The SYSUCC-001 Randomized Clinical Trial. Jama 2021;325:50-58.",,"The invasive DFS in those who receive adjuvant low-dose capecitabine was 85.8% compared with 75.8% in those who did not (HR for risk of distant metastasis or death, 0.60 [95% CI, 0.38-0.92]; P = .02), the estimated 5-year OS with maintenance capecitabine was 85.5% versus 81.3% (HR for risk of death,"
399,19001334,,2008,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,175,"Chia S, Norris B, Speers C, et al. Human epidermal growth factor receptor 2 overexpression as a prognostic factor in a large tissue microarray series of node-negative breast cancers. J Clin Oncol 2008;26:5697-5704.",http://www.ncbi.nlm.nih.gov/pubmed/19001334,"Some support for this recommendation comes from studies showing a higher risk of recurrence for patients with HER2-positive, node-negative tumors less than or equal to 1 cm compared to those with HER2-negative tumors of the same size."
400,19884543,,2009,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,175,"Gonzalez-Angulo AM, Litton JK, Broglio KR, et al. High risk of recurrence for patients with breast cancer who have human epidermal growth factor receptor 2-positive, node-negative tumors 1 cm or smaller. J Clin Oncol 2009;27:5700-5706.",http://www.ncbi.nlm.nih.gov/pubmed/19884543,"In the first study, 5-year recurrence-free survival rates of 77.1% and 93.7% (P < .001) were observed for patients with HER2-positive and HER2-negative T1a-bN0M0 breast tumors, respectively, with no recurrence-free survival differences seen in the HER2-positive group when hormonal receptor status wa"
401,19884553,,2009,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,175,"Curigliano G, Viale G, Bagnardi V, et al. Clinical relevance of HER2 overexpression/amplification in patients with small tumor size and node- negative breast cancer. J Clin Oncol 2009;27:5693-5699.",http://www.ncbi.nlm.nih.gov/pubmed/19884553,"In the other retrospective study of patients with small HER2-positive tumors, the risk of recurrence at 5 years was low (99% [95% CI; 96%-100%] for HER2-negative disease and 92% [95% CI; 86%-99%] for HER2-positive disease)."
402,18296421,,2008,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,175,"Untch M, Gelber RD, Jackisch C, et al. Estimating the magnitude of trastuzumab effects within patient subgroups in the HERA trial. Ann Oncol 2008;19:1090-1096.",http://www.ncbi.nlm.nih.gov/pubmed/18296421,Subgroup analyses from several of the randomized trials have shown consistent benefit of trastuzumab irrespective of tumor size or nodal status.
403,21991949,,2011,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,4,"175,176","Slamon D, Eiermann W, Robert N, et al. Adjuvant trastuzumab in HER2-positive breast cancer. N Engl J Med 2011;365:1273-1283.",http://www.ncbi.nlm.nih.gov/pubmed/21991949,Subgroup analyses from several of the randomized trials have shown consistent benefit of trastuzumab irrespective of tumor size or nodal status.
404,25564897,,2015,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,175,"Tolaney SM, Barry WT, Dang CT, et al. Adjuvant paclitaxel and trastuzumab for node-negative, HER2-positive breast cancer. N Engl J Med 2015;372:134-141.",https://www.ncbi.nlm.nih.gov/pubmed/25564897,"The 3-year rate of DFS was 98.7% (95% CI, 97.6-99.8) and the risk of serious toxic effects with this regimen was low (incidence of heart failure reported was 0.5%)."
405,36858723,,2023,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,2,175,"Tolaney SM, Tarantino P, Graham N, et al. Adjuvant paclitaxel and trastuzumab for node-negative, HER2-positive breast cancer: final 10- year analysis of the open-label, single-arm, phase 2 APT trial. Lancet Oncol 2023;24:273-285.",https://www.ncbi.nlm.nih.gov/pubmed/36858723,"The long-term follow-up data reported 10-year invasive DFS of 91.3%, breast cancer-specific survival of 98.8% and OS rates of 94.3%."
406,16495393,,2006,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,3,"175,176","Joensuu H, Kellokumpu-Lehtinen P, Bono P, et al. Adjuvant docetaxel or vinorelbine with or without trastuzumab for breast cancer. N Engl J Med 2006;354:809-820.",http://www.ncbi.nlm.nih.gov/pubmed/16495393,"In the FinHer trial, 1010 patients were randomized to 9 weeks of vinorelbine followed by 3 cycles of FEC chemotherapy versus docetaxel for 3 cycles followed by 3 cycles of FEC chemotherapy."
407,19884557,,2009,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,176,"Joensuu H, Bono P, Kataja V, et al. Fluorouracil, epirubicin, and cyclophosphamide with either docetaxel or vinorelbine, with or without trastuzumab, as adjuvant treatments of breast cancer: final results of the FinHer Trial. J Clin Oncol 2009;27:5685-5692.",http://www.ncbi.nlm.nih.gov/pubmed/19884557,"At 5-year follow-up, a comparison of the two arms (ie, chemotherapy with and without trastuzumab) demonstrated that the HRs for distant DFS (HR, 0.65; 95% CI, 0.38-1.12; P = .12) and OS (HR, 0.55; 95% CI, 0.27-1.11; P = .094) were higher relative to those reported at 3 years."
408,,10.1056/NEJMoa1703643,2017,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,176,"von Minckwitz G, Procter M, de Azambuja E, et al. Adjuvant Pertuzumab and Trastuzumab in Early HER2-Positive Breast Cancer. New England Journal of Medicine 2017;377:122-131.",http://www.nejm.org/doi/full/10.1056/NEJMoa1703643,"The study demonstrated that trastuzumab plus pertuzumab significantly improved 3-year iDFS (HR 0.81, 95% CI 0.66-1.00, P =.045)."
409,,,2022,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,176,"Loibl S, Jassem J, Sonnenblick A, et al. VP6-2022: Adjuvant pertuzumab and trastuzumab in patients with early HER-2 positive breast cancer in APHINITY: 8.4 years' follow-up. Annals of Oncology 2022;33:986-987.",https://www.sciencedirect.com/science/article/pii/S0923753422017380,"With long-term (8-year) follow-up, the node positive subgroup maintained a clear invasive DFS benefit favoring the dual HER-2 agent arm demonstrating 8-year invasive DFS of 86% versus 81% (HR; 0.72, 95% CI 0.60-0.87) with no OS difference; no benefit was seen in the node-negative subgroup."
410,30516102,,2019,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,2,176,"von Minckwitz G, Huang CS, Mano MS, et al. Trastuzumab Emtansine for Residual Invasive HER2-Positive Breast Cancer. N Engl J Med 2019;380:617-628.",https://www.ncbi.nlm.nih.gov/pubmed/30516102,Invasive DFS at 3 years was 88.3% with T-DM1 versus 77.0% with trastuzumab.
411,,10.1158/1538-7445,2023,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,2,176,"Tarantino P, Tayob N, Dang CT, et al. Abstract PD18-01: Adjuvant Trastuzumab Emtansine Versus Paclitaxel plus Trastuzumab for Stage I HER2+ Breast Cancer: 5-year results and correlative analyses from ATEMPT (TBCRC033). Cancer Research 2023;83:PD18-01-PD18-01.",https://doi.org/10.1158/1538-7445.SABCS22-PD18-01,"The long-term followup data of patients who received 1 year of adjuvant T-DM1 (n = 383) or trastuzumab/paclitaxel (n = 114) reported the 5-year invasive disease free survival rate with T-DM1 of 97.0% (95% CI, 95.2%-98.7%), the 5-year recurrence-free interval of 98.3% (95% CI, 96.3%-99.0%), and the 5"
412,16236738,,2005,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,3,"176,177,178","Romond E, Perez E, Bryant J, et al. Trastuzumab plus adjuvant chemotherapy for operable HER2-positive breast cancer. N Engl J Med 2005;353:1673-1684.",http://www.ncbi.nlm.nih.gov/pubmed/16236738,"Other recommended regimens: Anthracycline followed by taxane-containing chemotherapy regimens were used in the NSABP trial B-31,"
413,16381626,,2005,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,176,"Perez EA, Suman VJ, Rowland KM, et al. Two concurrent phase II trials of paclitaxel/carboplatin/trastuzumab (weekly or every-3-week schedule) as first-line therapy in women with HER2-overexpressing metastatic breast cancer: NCCTG study 983252. Clin Breast Cancer 2005;6:425-432.",http://www.ncbi.nlm.nih.gov/pubmed/16381626,"Other recommended regimens: Anthracycline followed by taxane-containing chemotherapy regimens were used in the NSABP trial B-31, NCCTG trial,"
414,,,2010,special situations,Special Situations > Inflammatory Breast Cancer > Preoperative Chemotherapy > Targeted Therapy,,4,"176,222","Gianni L, Eiermann W, Semiglazov V, et al. Neoadjuvant chemotherapy with trastuzumab followed by adjuvant trastuzumab versus neoadjuvant chemotherapy alone, in patients with HER2-positive locally advanced breast cancer (the NOAH trial): a randomised controlled superiority trial with a parallel HER2-negative cohort. The Lancet 2010;375:377-384.",http://linkinghub.elsevier.com/retrieve/pii/S0140673609619644,"In the NOAH trial, patients were given concurrent taxane and anthracycline, then taxane alone followed by cyclophosphamide- methotrexate-fluorouracil."
415,31634648,,2019,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,176,"D'Hondt V, Canon JL, Roca L, et al. UCBG 2-04: Long-term results of the PACS 04 trial evaluating adjuvant epirubicin plus docetaxel in node-positive breast cancer and trastuzumab in the human epidermal growth factor receptor 2-positive subgroup. Eur J Cancer 2019;122:91- 100.",https://www.ncbi.nlm.nih.gov/pubmed/31634648,"In the FinHER patients were randomized to docetaxel or vinorelbine before anthracyclines, and PACS 04 randomized patients to fluorouracil/epirubicin/cyclophosphamide or to epirubicin plus docetaxel."
416,16236737,,2005,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"Piccart-Gebhart M, Procter M, Leyland-Jones B, et al. Trastuzumab after adjuvant chemotherapy in HER2-positive breast cancer. N Engl J Med 2005;353:1659-1672.",http://www.ncbi.nlm.nih.gov/pubmed/16236737,"Furthermore, the HERA trial"
417,21768458,,2011,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"Perez EA, Romond EH, Suman VJ, et al. Four-year follow-up of trastuzumab plus adjuvant chemotherapy for operable human epidermal growth factor receptor 2-positive breast cancer: joint analysis of data from NCCTG N9831 and NSABP B-31. J Clin Oncol 2011;29:3366- 3373.",http://www.ncbi.nlm.nih.gov/pubmed/21768458,"Furthermore, the HERA trial and the combined analysis of the NSABP B31 and NCCTG N9831 trials"
418,34339645,,2021,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"Early Breast Cancer Trialists' Collaborative g. Trastuzumab for early-stage, HER2-positive breast cancer: a meta-analysis of 13 864 women in seven randomised trials. Lancet Oncol 2021;22:1139-1150.",https://www.ncbi.nlm.nih.gov/pubmed/34339645,"A more recent meta-analysis of all the above (excluding the BCIRG 006 Trial) showed that addition of trastuzumab resulted in an average absolute reduction in 10-year risk of recurrence of 9.0% (95% CI 7.4 to 10.7; P < . 0001), a reduction in 10-year breast cancer mortality by 6.4% (4.9 to 7.8; P < ."
419,,,2012,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"Romond E, Suman V, Jeong J-H, et al. Trastuzumab plus adjuvant chemotherapy for HER2-positive breast cancer: Final planned joint analysis of overall survival (OS) from NSABP B-31 and NCCTG N9831. Cancer Research 2012;72:S5-5.",http://cancerres.aacrjournals.org/cgi/content/meeting_abstract/72/24_Me,The benefits of trastuzumab are independent of ER status.
420,30413379,,2018,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,3,177,"van Ramshorst MS, van der Voort A, van Werkhoven ED, et al. Neoadjuvant chemotherapy with or without anthracyclines in the presence of dual HER2 blockade for HER2-positive breast cancer (TRAIN-2): a multicentre, open-label, randomised, phase 3 trial. Lancet Oncol 2018;19:1630-1640.",https://www.ncbi.nlm.nih.gov/pubmed/30413379,The NCCN Panel considers it reasonable to incorporate pertuzumab into the above adjuvant regimens
421,28945833,,2017,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"Nitz UA, Gluz O, Christgen M, et al. De-escalation strategies in HER2-positive early breast cancer (EBC): final analysis of the WSG- ADAPT HER2+/HR- phase II trial: efficacy, safety, and predictive markers for 12 weeks of neoadjuvant dual blockade with trastuzumab and pertuzumab +/- weekly paclitaxel. Ann Oncol 2017;28:2768-2772.",https://www.ncbi.nlm.nih.gov/pubmed/28945833,The NCCN Panel considers it reasonable to incorporate pertuzumab into the above adjuvant regimens
422,34014249,,2021,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"van der Voort A, van Ramshorst MS, van Werkhoven ED, et al. Three-year follow-up of neoadjuvant chemotherapy with or without anthracyclines in the presence of dual erbb2 blockade in patients with erbb2-positive breast cancer: A secondary analysis of the train-2 randomized, phase 3 trial. JAMA Oncol 2021;7:978-984.",https://www.ncbi.nlm.nih.gov/pubmed/34014249,"Based on these results, considering the added toxicity of anthracycline containing regimens the panel has added non- anthracycline containing regimens with trastuzumab and pertuzumab as treatment options."
423,31178152,,2019,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"Earl HM, Hiller L, Vallier AL, et al. 6 versus 12 months of adjuvant trastuzumab for HER2-positive early breast cancer (PERSEPHONE): 4- year disease-free survival results of a randomised phase 3 non-inferiority trial. Lancet 2019;393:2599-2612.",https://www.ncbi.nlm.nih.gov/pubmed/31178152,"With respect to a duration less than 12 months, the results of the PERSEPHONE trial showed non-inferiority for 6 months versus 12 months of trastuzumab treatment,"
424,31178155,,2019,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Adjuvant Systemic Therapy > Adjuvant Therapy for HER2-positive tumors,,1,177,"Pivot X, Romieu G, Debled M, et al. 6 months versus 12 months of adjuvant trastuzumab in early breast cancer (PHARE): final analysis of a multicentre, open-label, phase 3 randomised trial. Lancet 2019;393:2591-2598.",https://www.ncbi.nlm.nih.gov/pubmed/31178155,"With respect to a duration less than 12 months, the results of the PERSEPHONE trial showed non-inferiority for 6 months versus 12 months of trastuzumab treatment, However, the PHARE study observed more events in the 6 month cohort compared to the 12 month cohort, and non- inferiority was not establi"
